|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8109|G04706PVEN|East Hampstead STW|England|99|Photovoltaic|FiT|2012-10-16|2012-09-25|||2014-03|16.0|
8110|G05884PVEN|Aldi Tamworth|England|50|Photovoltaic|FiT|2014-12-15|2014-12-04|||2015-08|32.0|
8111|R01630RWEN|St Columb Minor Academy ??? PV|England|14|Photovoltaic|FiT|||14.3%|10.8%|2011-10|13.0|
8112|R00076RXEN|East Malling Research|England|36|Dedicated biomass|RO|2009-12-01|2009-12-01|7.2%|6.2%|2012-03|20.0|37.0
8113|R00015RYWA|Clyn Hydro - D, Y. agent is TL|Wales|6|Hydro|RO|2004-04-01|1990-05-01|30.2%|34.3%|2007-03|18.0|18.0
8114|R00422NZNI|Cassidy Maghera WD001|NI|12|On-shore wind|RO|2011-11-14|2010-10-26|14.7%|17.9%|2014-03|19.0|
8115|G05856PVEN|Aldi Ilford|England|50|Photovoltaic|FiT|2014-11-26|2014-11-24|||2015-08|31.0|
8116|R00139RYEN|Upper Crisbrook Mill|England|4|Hydro|RO|2009-07-31|2009-05-25|||2010-03|16.0|31.0
8117|G05857PVEN|Aldi Radford Road|England|50|Photovoltaic|FiT|2014-11-26|2014-11-24|||2015-08|31.0|
8118|G05843PVEN|Aldi Towcester|England|50|Photovoltaic|FiT|2014-11-26|2014-11-18|||2015-08|31.0|
8119|G05818PVEN|Aldi Hilton|England|50|Photovoltaic|FiT|2014-11-26|2014-10-30|||2015-08|31.0|
8120|G05916PVEN|Aldi Hinckley|England|50|Photovoltaic|FiT|2014-12-23|2014-12-15|||2015-08|31.0|
8121|G05841PVEN|Aldi Queensway|England|50|Photovoltaic|FiT|2014-11-26|2014-11-17|||2015-08|31.0|
8122|R00051SZSC|Duncan Feorlig - Y, (28/08/07), agent is SSE|Scotland|6|On-shore wind|FiT|2007-08-01|2007-05-01|29.3%|28.9%|2010-03|15.0|
8123|R00320RZEN|Scaling|England|10|On-shore wind|FiT|2008-07-30|2008-07-14|18.2%|28.5%|2017-12|25.0|
8124|R01952NGNI|MacretePV|NI|20|Photovoltaic|RO|2013-07-26|2013-07-16|9.1%|9.6%|2018-03|17.0|67.0
8125|R02211RWEN|Peel Institute|England|16|Photovoltaic|FiT|2009-09-14|2009-04-01|||2010-03|15.0|
8126|R00089SZSC|Martin Mowat Wind - Y (22/02/2008), agent is GE|Scotland|6|On-shore wind|FiT|2008-02-01|2007-10-01|26.0%|7.6%|2012-03|4.0|
8127|R00025SYSC|Craigpot Cottage - Y (10/09/07), agent is TL|Scotland|7|Hydro|RO|2007-09-01|2007-01-01|24.8%|24.7%|2010-03|15.0|
8128|G04689PVEN|BATH ROAD GARAGE|England|13|Photovoltaic|FiT|2012-09-12|2012-02-28|14.8%|12.4%|2018-06|14.0|
8129|R00449RZEN|Hobsons Brewery|England|11|On-shore wind|FiT|2009-03-24|2009-03-24|16.9%|18.7%|2018-04|18.0|
8130|R00567RZEN|Range High School|England|12|On-shore wind|FiT|2009-08-06|2007-08-22|||2010-03|15.0|
8131|G05233PVEN|Aldi Swanley|England|50|Photovoltaic|FiT|2013-11-27|2013-05-14|||2015-02|15.0|
8132|G01677PVWA|PertheirinPV50|Wales|50|Photovoltaic|FiT|2014-11-04|2013-12-06|||2015-06|30.0|
8133|G05419PVEN|QEOP Multi-storey car park|England|360|Photovoltaic|FiT|2014-04-02|2013-11-28|||2014-05|15.0|
8134|G08022PVEN|Bourjois House|England|250|Photovoltaic|FiT|2018-02-20|2018-02-20|||2018-05|72.0|
8135|G05844PVEN|Aldi Weston Favell|England|50|Photovoltaic|FiT|2014-11-26|2014-11-18|||2015-08|30.0|
